pathwayname,genelist,genecount
Melanoma,"['AKT1', 'AKT2', 'ARAF', 'BAD', 'BAK1', 'BAX', 'CCND1', 'BRAF', 'CALM1', 'CALM2', 'CALM3', 'CALML3', 'CDH1', 'CDK4', 'CDK6', 'CDKN1A', 'CDKN2A', 'CREB1', 'DDB2', 'GADD45A', 'E2F1', 'E2F2', 'E2F3', 'ELK1', 'ERBB4', 'ETS1', 'FOS', 'GRB2', 'GRIN2A', 'GRM3', 'HRAS', 'KDR', 'KIT', 'KRAS', 'MDM2', 'MITF', 'GADD45B', 'NF1', 'NRAS', 'PAK1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'PTEN', 'RAC1', 'RAF1', 'RB1', 'SOS1', 'SOS2', 'TP53', 'VCL', 'PIK3R3', 'LAMTOR3', 'STK19', 'AKT3', 'GADD45G', 'SHC2', 'POLK', 'CALML5', 'PREX2', 'CALML4', 'CALML6']",68
Vitamin D-sensitive calcium signaling in depression,"['ATP2B1', 'ATP2B2', 'ATP2B3', 'ATP2B4', 'BCL2', 'CACNA1C', 'CALB1', 'CHRM1', 'CYP27A1', 'CYP27B1', 'G6PD', 'GGT1', 'GCLC', 'GRIN1', 'GRIN2B', 'GRIN2D', 'GRM5', 'GSR', 'ITPR1', 'ITPR2', 'ITPR3', 'KCNQ2', 'KCNQ3', 'NFE2L2', 'PVALB', 'RXRA', 'SLC8A1', 'TPH1', 'VDR', 'KDM1A', 'KDM6B', 'KDM3A', 'TPH2', 'KDM1B']",34
Pathways of nucleic acid metabolism and innate immune sensing,"['ADAR', 'IFNB1', 'IRF3', 'OAS1', 'RNASEL', 'RNASET2', 'RNASEH2A', 'TREX1', 'DDX58', 'SAMHD1', 'MAVS', 'IFIH1', 'RNASEH2B', 'RNASEH2C', 'CGAS', 'TMEM173']",16
Thyroid hormones production and their peripheral downstream signalling effects regarding congenital hypothyroidism,"['ADRB3', 'AGRP', 'AQP7', 'BAD', 'CASP9', 'ATF2', 'MAPK14', 'CTNNB1', 'DIO1', 'DIO2', 'DIO3', 'FGFR1', 'FOXO1', 'MTOR', 'GRB2', 'GSK3B', 'HRAS', 'ITGAV', 'ITGB3', 'ITPR2', 'MC4R', 'MDM2', 'NOTCH1', 'NPY', 'NPPB', 'NPR1', 'SLC26A4', 'PFKFB2', 'PIK3CA', 'PLIN1', 'POMC', 'PPARG', 'MAPK1', 'MAP2K1', 'RAF1', 'RHEB', 'RPS6', 'RPS6KB1', 'RXRA', 'SHH', 'SLC5A5', 'SLC16A2', 'SOS1', 'SRC', 'THRA', 'THRB', 'TP53', 'TRH', 'TSC1', 'TSC2', 'TSHB', 'TSHR', 'TTF1', 'UCP1', 'TTF2', 'ZNF516', 'SECISBP2L', 'TBC1D4', 'AKT3', 'CREB3', 'FRS2', 'PPARGC1A', 'MGLL', 'KDM1A', 'FGF21', 'RPS6KA6', 'DUOX2', 'ACTL6B', 'SIRT6', 'KDM3B', 'SLCO1C1', 'WNT4', 'PNPLA2', 'NHSL1', 'RPTOR', 'PRDM16', 'MLST8', 'AKT1S1', 'SLC16A10', 'KLB', 'IYD', 'MAFA', 'DUOXA2']",83
Netrin-UNC5B signaling Pathway,"['AKT1', 'ALPL', 'RHOA', 'CASP3', 'CDH5', 'COL1A1', 'MAPK14', 'CCN2', 'DAPK1', 'PTK2B', 'FYN', 'ICAM1', 'IL1A', 'IL10', 'INPP5D', 'ITGB4', 'JUN', 'KDR', 'MYF5', 'NEO1', 'NTN3', 'PIK3CA', 'PPP1CA', 'PPP2R1B', 'PTPA', 'PRKCA', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'PTK2', 'PTPN11', 'RAC1', 'RAF1', 'RLF', 'CCL2', 'SELE', 'SRC', 'TNF', 'TP53', 'VCAM1', 'NTN1', 'YAP1', 'ARHGEF12', 'ROBO4', 'RGMA', 'PLEKHH1', 'CIP2A', 'NTN4', 'DCSTAMP', 'AGAP2', 'UNC5B']",52
Nucleotide Excision Repair,"['CCNH', 'CDK7', 'CETN2', 'ERCC8', 'DDB1', 'DDB2', 'ERCC1', 'ERCC2', 'ERCC3', 'ERCC4', 'ERCC6', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'LIG1', 'MNAT1', 'PCNA', 'POLD1', 'POLD2', 'POLE', 'POLE2', 'RAD23A', 'RAD23B', 'RFC1', 'RFC2', 'RFC3', 'RFC4', 'RFC5', 'RPA1', 'RPA2', 'RPA3', 'XPA', 'XPC', 'CUL4B', 'CUL4A', 'RBX1', 'POLD3', 'POLE3', 'POLE4', 'POLD4', 'GTF2H5', 'BIVM-ERCC5']",43
IL-18 signaling pathway,"['NATP', 'ACACB', 'PARP1', 'FAS', 'FASLG', 'BAX', 'BID', 'CASP3', 'CASP8', 'CEBPB', 'CHUK', 'CSN2', 'CTNNB1', 'ELAVL1', 'GATA1', 'GRIN2B', 'GSK3B', 'HSPB1', 'IKBKB', 'IRF1', 'LCK', 'MEF2A', 'NCF2', 'NFATC4', 'NFKB1', 'NFKBIA', 'PIK3R1', 'PRKAA1', 'PRKCA', 'PRKCB', 'PRKCD', 'MAPK1', 'MAPK3', 'MAPK9', 'MAP2K7', 'PTEN', 'RELA', 'RPS6KB1', 'SLC12A3', 'SP1', 'MAP3K7', 'TNF', 'TNFRSF1A', 'TP53', 'CFLAR', 'NOX1', 'CYCS', 'IMP3', 'TICAM2', 'NCF1', 'corA']",51
Renin Angiotensin Aldosterone System (RAAS),"['AGT', 'AGTR1', 'AGTR2', 'CMA1', 'CTSG', 'ACE', 'REN']",7
Nephrotic syndrome,"['ACTN4', 'ARHGDIA', 'SCARB2', 'CD151', 'COL4A3', 'COL4A4', 'COL4A5', 'CTLA4', 'CYP11B2', 'E2F3', 'EMP2', 'GPC5', 'ITGA3', 'ITGB4', 'LAMB2', 'LMNA', 'LMX1B', 'TRNI', 'TRNL1', 'MYH9', 'MYO1E', 'NPHS1', 'PAX2', 'PMM2', 'PODXL', 'PTPRO', 'TRPC6', 'WT1', 'NPHS2', 'CUBN', 'APOL1', 'YARS', 'ZMPSTE24', 'SYNPO', 'CD2AP', 'COQ2', 'SMARCAL1', 'COQ6', 'PLCE1', 'ANLN', 'Snx12', 'ALG1', 'PDSS2', 'INF2', 'TTC21B', 'COQ8B', 'ARHGAP24', 'WDR73', 'TRN-GTT4-1']",49
FGFR3 signalling in chondrocyte proliferation and terminal differentiation,"['BMP2', 'BMP4', 'CDKN1A', 'CNP', 'MAPK14', 'FGF9', 'FGFR3', 'IHH', 'NPR2', 'PPP2CA', 'MAPK1', 'MAPK3', 'MAPK11', 'MAPK13', 'MAP2K1', 'MAP2K2', 'PTHLH', 'PTH1R', 'RAF1', 'RBL1', 'MAPK12', 'SNAI1', 'SOX9', 'STAT1', 'THRA', 'FGF18', 'ATG5']",27
Type I collagen synthesis in the context of Osteogenesis imperfecta,"['BMP1', 'SERPINH1', 'COL1A1', 'COL1A2', 'ITPR1', 'LOX', 'LRP6', 'LRP5', 'TNFRSF11B', 'P4HA1', 'P4HB', 'SERPINF1', 'PLOD1', 'PLOD2', 'PPIB', 'WNT1', 'TNFSF11', 'MBTPS1', 'TNFRSF11A', 'P4HA2', 'ADAMTS2', 'CRTAP', 'MBTPS2', 'TMEM38B', 'P3H2', 'FKBP10', 'P3H1', 'COLGALT1', 'CREB3L1', 'SP7', 'MIA3', 'IFITM5']",32
Osteoblast differentiation,"['JAG1', 'BMP2', 'BMP4', 'BMPR1A', 'BMPR1B', 'BMPR2', 'RUNX2', 'CTNNB1', 'FGF3', 'FGF6', 'FGF9', 'FGFR1', 'FGFR3', 'FGFR2', 'FGFR4', 'FZD2', 'GLI2', 'GLI3', 'RBPJ', 'IHH', 'JAG2', 'LRP6', 'LRP5', 'SMAD1', 'SMAD4', 'SMAD5', 'SMAD9', 'MYOD1', 'NOTCH1', 'NOTCH2', 'NOTCH3', 'NOTCH4', 'PIK3C2G', 'PIK3CA', 'PPARG', 'PRKCD', 'PRKCZ', 'PTCH1', 'SMO', 'SOX9', 'STAT1', 'WNT1', 'WNT2', 'WNT5A', 'WNT6', 'WNT7A', 'WNT10B', 'WNT11', 'WNT9B', 'FZD4', 'FZD8', 'FZD9', 'FGF18', 'DLL3', 'FZD10', 'HEY1', 'HEY2', 'DLL1', 'DLL4', 'HES2', 'HES6', 'HES3', 'LOC101929777']",63
Autosomal recessive Osteopetrosis pathways,"['CLCN7', 'IKBKB', 'NFKB1', 'TRAF6', 'RAB7A', 'TNFSF11', 'TNFRSF11A', 'PLEKHM1', 'TCIRG1', 'OSTM1', 'SNX10']",11
FGF23 signalling in Hypophosphatemic rickets,"['ALPL', 'CCND1', 'CDKN1A', 'CYP11B2', 'CYP24A1', 'CYP27B1', 'DMP1', 'FGFR3', 'FGFR2', 'GALNT3', 'NFKB1', 'NFKB2', 'ENPP1', 'PHEX', 'PTH', 'ROS1', 'SLC34A1', 'SPP1', 'FGF23', 'KL', 'FAM20C', 'SLC34A3']",22
GDNF/RET signalling axis,"['AGTR2', 'BMP4', 'EYA1', 'FOXC1', 'FOXC2', 'GATA3', 'GDNF', 'LHX1', 'PAX2', 'ROBO2', 'SALL1', 'SOX11', 'SLIT2', 'SPRY1', 'GREM1', 'SOX17', 'FAT4']",17
Toll-Like Receptor Pathway 2,"['CD14', 'CHUK', 'MAPK14', 'IKBKB', 'IRAK1', 'MAP3K1', 'MYD88', 'NFKB1', 'NFKBIA', 'MAPK8', 'RELA', 'MAP2K4', 'MAP3K7', 'TLR1', 'TLR2', 'TLR3', 'TLR4', 'TLR5', 'TRAF6', 'IKBKG', 'TLR6', 'TAB1', 'TAB2', 'LY96', 'TLR7', 'ECSIT', 'TLR8', 'TLR9', 'TOLLIP', 'TIRAP', 'TAB3', 'fliC']",32
EPO Signaling Pathway,"['ELK1', 'EPO', 'EPOR', 'FOS', 'GRB2', 'HRAS', 'JAK2', 'JUN', 'PLCG1', 'MAPK3', 'MAPK8', 'MAP2K1', 'PTPN6', 'RAF1', 'SHC1', 'SOS1', 'STAT5A']",17
FAS signaling pathway ( CD95 ),"['PARP1', 'FAS', 'FASLG', 'ARHGDIB', 'CASP3', 'CASP6', 'CASP7', 'CASP8', 'CASP10', 'DAXX', 'DFFA', 'DFFB', 'JUN', 'LMNA', 'LMNB1', 'MAP3K1', 'PAK1', 'PAK2', 'PRKDC', 'MAPK8', 'PTPN13', 'RB1', 'MAP2K4', 'SPTAN1', 'MAP3K7', 'RIPK2', 'FADD', 'CFLAR', 'FAF1', 'LMNB2']",30
BCR Signaling Pathway,"['BTK', 'CALM3', 'CD79A', 'CD79B', 'ELK1', 'FOS', 'GRB2', 'HRAS', 'JUN', 'LYN', 'MAP3K1', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'PLCG1', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PRKCA', 'PRKCB', 'MAPK3', 'MAPK8', 'MAP2K1', 'RAC1', 'RAF1', 'SHC1', 'SOS1', 'SYK', 'VAV1', 'BLNK', 'ORAI1']",32
Succinate Signalling,"['HIF1A', 'IL1B', 'TLR4', 'SIRT3', 'NLRP3', 'P4HA3']",6
Succinate Signalling During Inflammation,"['CHUK', 'CREB1', 'IKBKB', 'NFKB1', 'NOS3', 'PRKCA', 'MAPK1', 'MAPK3', 'MAPK11', 'PTGS1', 'IKBKG', 'PLCB1', 'SUCNR1']",13
CD40L Signalling Pathway,"['CD40', 'CD40LG', 'CHUK', 'MAPK14', 'DUSP1', 'IKBKB', 'MAP3K1', 'NFKB1', 'NFKBIA', 'TNFAIP3', 'TRAF3', 'TRAF6', 'IKBKG', 'ELP1']",14
LPS and Citrate Signaling and Inflammation,"['ACACA', 'ACLY', 'CD14', 'CHUK', 'CS', 'IKBKB', 'MDH1', 'ME1', 'MYD88', 'NFKB1', 'NFKBIA', 'RELA', 'SDHA', 'SDHB', 'SDHC', 'SDHD', 'SLC25A1', 'TLR4', 'TRAF6', 'IKBKG', 'LY96', 'TIRAP', 'PFK1']",23
Kidney Function - Ascending Limb of The Loop of Henle,"['ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2', 'CLCNKA', 'REN', 'SLC12A1', 'SLC12A6']",12
Kidney Function - Collecting Duct,"['AQP2', 'AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2', 'ATP6V1B1', 'CA1', 'REN', 'SCNN1A', 'SCNN1B', 'SCNN1D', 'SCNN1G', 'SLC4A1', 'SLC14A2']",19
Kidney Function - Distal Convoluted Tubule,"['AQP2', 'AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2', 'ATP4A', 'ATP4B', 'CLCNKA', 'REN', 'SLC8A1', 'SLC12A3', 'TRPV5']",17
Aldosterone from Steroidogenesis,"['AGTR1', 'CYP11A1', 'CYP11B2', 'CYP21A2', 'GNAQ', 'GNB1', 'HSD3B1', 'GNG2']",8
SLC-mediated transmembrane transport,"['ALB', 'SLC25A4', 'SLC25A5', 'SLC25A6', 'ARL2', 'BSG', 'CALM3', 'RUNX1', 'SLC31A1', 'CP', 'SLC25A10', 'CTNS', 'SLC11A2', 'SLC22A18', 'SLC26A4', 'RHAG', 'RSC1A1', 'SLC1A4', 'SLC1A5', 'SLC2A1', 'SLC2A2', 'SLC2A3', 'SLC2A4', 'SLC3A1', 'SLC3A2', 'SLC5A2', 'SLC5A5', 'SLC6A2', 'SLC6A3', 'SLC6A6', 'SLC6A7', 'SLC6A12', 'SLC7A1', 'SLC11A1', 'SLC12A3', 'SLC13A1', 'SLC16A1', 'SLC17A1', 'SLCO2A1', 'SLCO1A2', 'SLC22A3', 'SLC22A4', 'SRI', 'SLC35A2', 'SLC30A1', 'SLC30A2', 'SLC39A7', 'SLC7A5', 'SLC43A1', 'SLC4A4', 'SLC5A6', 'SLC7A7', 'SLC7A6', 'SLC13A2', 'SLC16A3', 'SLC28A2', 'SLC28A1', 'SLC16A7', 'SLC33A1', 'HEPH', 'SLC35A1', 'SLCO1B1', 'SLC38A3', 'SLC35D2', 'SLC7A9', 'SLC6A14', 'SLCO2B1', 'SLC35D1', 'AHCYL2', 'SLC7A8', 'SLC35A3', 'SLC16A8', 'ARL2BP', 'SLC7A11', 'SLC13A4', 'FGF21', 'SLC17A5', 'SLCO1B3', 'SLC40A1', 'PDZD11', 'RHCG', 'SLC38A2', 'SLC6A20', 'SLC38A4', 'SLC6A15', 'SLC29A3', 'SLC35C1', 'SLC30A10', 'SLC30A6', 'SLC50A1', 'SLC7A10', 'SLC2A9', 'RHBG', 'SLC39A10', 'SLC5A7', 'SLC28A3', 'SLC13A3', 'SLC30A5', 'SLC8B1', 'SLC38A1', 'SLC7A3', 'SLC35B4', 'SLC45A3', 'SLC38A5', 'SLC2A13', 'SLC25A26', 'SLC5A11', 'SLC22A12', 'SLC16A10', 'SLC36A4', 'SLC25A29', 'SLC43A2', 'SLC5A10', 'EMB', 'SLC32A1', 'SLC34A3', 'SLC2A14', 'SLC30A7', 'SLC36A2', 'SLC5A12', 'SLC5A8', 'SLC30A8', 'SLC5A9', 'SLC36A1', 'SLC29A4', 'SLC39A5', 'SLC24A5', 'SLC13A5', 'SLC26A11', 'SLC9A9', 'SLC6A19', 'SLC10A6', 'SLC6A18', 'SLCO4C1']",134
Transport of inorganic cations/anions and amino acids/oligopeptides,"['CALM3', 'SLC25A10', 'CTNS', 'SLC26A4', 'SLC1A4', 'SLC1A5', 'SLC3A1', 'SLC3A2', 'SLC5A5', 'SLC6A6', 'SLC6A12', 'SLC7A1', 'SLC12A3', 'SLC17A1', 'SRI', 'SLC7A5', 'SLC43A1', 'SLC4A4', 'SLC7A7', 'SLC7A6', 'SLC38A3', 'SLC7A9', 'SLC6A14', 'AHCYL2', 'SLC7A8', 'SLC7A11', 'SLC17A5', 'SLC38A2', 'SLC6A20', 'SLC38A4', 'SLC6A15', 'SLC7A10', 'SLC8B1', 'SLC38A1', 'SLC7A3', 'SLC38A5', 'SLC25A26', 'SLC16A10', 'SLC36A4', 'SLC25A29', 'SLC43A2', 'SLC32A1', 'SLC34A3', 'SLC36A2', 'SLC5A12', 'SLC5A8', 'SLC36A1', 'SLC24A5', 'SLC26A11', 'SLC9A9', 'SLC6A19', 'SLC6A18']",52
Amino acid transport across the plasma membrane,"['SLC1A4', 'SLC1A5', 'SLC3A1', 'SLC3A2', 'SLC6A6', 'SLC6A12', 'SLC7A1', 'SLC7A5', 'SLC43A1', 'SLC7A7', 'SLC7A6', 'SLC38A3', 'SLC7A9', 'SLC6A14', 'SLC7A8', 'SLC7A11', 'SLC38A2', 'SLC6A20', 'SLC38A4', 'SLC6A15', 'SLC7A10', 'SLC38A1', 'SLC7A3', 'SLC38A5', 'SLC16A10', 'SLC36A4', 'SLC25A29', 'SLC43A2', 'SLC36A2', 'SLC36A1', 'SLC6A19', 'SLC6A18']",32
"Transport of bile salts and organic acids, metal ions and amine compounds","['BSG', 'RUNX1', 'SLC31A1', 'CP', 'SLC11A2', 'SLC22A18', 'RHAG', 'RSC1A1', 'SLC6A2', 'SLC6A3', 'SLC6A6', 'SLC6A7', 'SLC6A12', 'SLC11A1', 'SLC13A1', 'SLC16A1', 'SLC22A3', 'SLC22A4', 'SLC30A1', 'SLC30A2', 'SLC39A7', 'SLC13A2', 'SLC16A3', 'SLC16A7', 'HEPH', 'SLC6A14', 'SLC16A8', 'SLC13A4', 'SLC40A1', 'RHCG', 'SLC6A20', 'SLC6A15', 'SLC30A10', 'SLC30A6', 'RHBG', 'SLC39A10', 'SLC5A7', 'SLC13A3', 'SLC30A5', 'SLC2A13', 'SLC5A11', 'SLC22A12', 'EMB', 'SLC30A7', 'SLC30A8', 'SLC39A5', 'SLC13A5', 'SLC6A19', 'SLC10A6', 'SLC6A18']",50
Na+/Cl- dependent neurotransmitter transporters,"['SLC6A2', 'SLC6A3', 'SLC6A6', 'SLC6A7', 'SLC6A12', 'SLC6A14', 'SLC6A20', 'SLC6A15', 'SLC6A19', 'SLC6A18']",10
Cell junction organization,"['ACTN1', 'ANG', 'CD151', 'COL17A1', 'CTNNA1', 'CTNND1', 'ILK', 'ITGA6', 'ITGB1', 'ITGB4', 'LAMA3', 'LAMB3', 'LAMC2', 'LIMS1', 'PLEC', 'PRKCI', 'PVR', 'NECTIN1', 'NECTIN2', 'PXN', 'RSU1', 'TESK1', 'VASP', 'ARHGEF6', 'FERMT2', 'CADM1', 'NECTIN3', 'PARVB', 'F11R', 'SDK2', 'FBLIM1', 'PARVA', 'PARD3', 'CADM3', 'MPP5', 'NECTIN4', 'CRB3', 'SDK1', 'CADM2']",39
Cell-cell junction organization,"['ANG', 'CTNNA1', 'CTNND1', 'PRKCI', 'PVR', 'NECTIN1', 'NECTIN2', 'CADM1', 'NECTIN3', 'F11R', 'SDK2', 'PARD3', 'CADM3', 'MPP5', 'NECTIN4', 'CRB3', 'SDK1', 'CADM2']",18
Tight junction interactions,"['PRKCI', 'F11R', 'PARD3', 'MPP5', 'CRB3']",5
Activation of Matrix Metalloproteinases,"['MMP1', 'MMP2', 'MMP3', 'MMP7', 'MMP8', 'MMP9', 'MMP10', 'MMP11', 'MMP13', 'MMP14', 'FURIN', 'TIMP1', 'TIMP2', 'SPOCK3', 'COL18A1']",15
Collagen degradation,"['ELANE', 'MMP1', 'MMP9', 'MMP10', 'MMP12', 'MMP15', 'MMP19', 'FURIN', 'PHYKPL']",9
Integrin cell surface interactions,"['BSG', 'CD44', 'CDH1', 'COMP', 'FBN1', 'FGA', 'FGB', 'FGG', 'FN1', 'HSPG2', 'TNC', 'IBSP', 'ITGA6', 'ITGA1', 'ITGA2', 'ITGA2B', 'ITGA3', 'ITGA4', 'ITGA5', 'ITGA7', 'ITGA9', 'ITGAD', 'ITGAE', 'ITGAL', 'ITGAM', 'ITGAV', 'ITGAX', 'ITGB1', 'ITGB2', 'ITGB3', 'ITGB5', 'ITGB6', 'ITGB7', 'ITGB8', 'KDR', 'LUM', 'PECAM1', 'SPP1', 'THBS1', 'VCAM1', 'VTN', 'ITGA10', 'ITGA8', 'ITGA11', 'F11R', 'JAM2', 'JAM3', 'AGRN']",48
Common Pathway of Fibrin Clot Formation,"['SERPINC1', 'F2', 'F2R', 'F5', 'F8', 'F10', 'F13A1', 'F13B', 'FGA', 'FGB', 'FGG', 'SERPIND1', 'SERPINA5', 'SERPINE2', 'PROC', 'PROS1', 'PRTN3', 'THBD', 'PROCR', 'CD177']",20
Factors involved in megakaryocyte development and platelet production,"['ABL1', 'CAPZB', 'CDK2', 'CDK5', 'CENPE', 'HBB', 'HBD', 'HBE1', 'HBG1', 'HBG2', 'HDAC1', 'HDAC2', 'IRF1', 'IRF2', 'ITPK1', 'JAK2', 'KIF2A', 'KIF11', 'KIFC1', 'MYB', 'NFE2', 'RAB5A', 'RAD51C', 'RAD51B', 'TP53', 'WEE1', 'KIF3B', 'HMG20B', 'KIF2C', 'KIF3A', 'VPS45', 'KIFAP3', 'KDM1A', 'RCOR1', 'CBX5', 'SIN3A', 'RACGAP1', 'AK3', 'PHF21A', 'CARMIL1', 'KIF15', 'RBSN', 'KIF9', 'MICAL1', 'KIF18A', 'KIF2B', 'CABLES1', 'JMJD1C']",48
Fatty acid metabolism,"['ACAA1', 'ACACA', 'ACADL', 'ACADM', 'ACADS', 'ACADVL', 'ACLY', 'ABCD1', 'ALOX12', 'ALOX5', 'ALOX5AP', 'ALOX12B', 'ALOX15', 'ALOX15B', 'SLC25A20', 'CBR1', 'CPT2', 'CRAT', 'ECI1', 'DECR1', 'DPEP1', 'ECHS1', 'EHHADH', 'EPHX2', 'FAAH', 'ACSL1', 'FASN', 'GGT1', 'GGT5', 'HADHA', 'HADHB', 'HADH', 'HPGD', 'HSD17B4', 'FADS1', 'LTA4H', 'LTC4S', 'ABCC1', 'NDUFAB1', 'PCCA', 'PCCB', 'PHYH', 'PLA2G4A', 'PON1', 'PON2', 'PON3', 'PPARD', 'PPT1', 'PRKAA2', 'PRKAB2', 'PTGDS', 'PTGS1', 'PTGS2', 'RXRA', 'SCD', 'SCP2', 'SLC25A1', 'SLC22A5', 'TBXAS1', 'THRSP', 'HSD17B8', 'ACOX2', 'ACOX3', 'AKR1C3', 'MAPKAPK2', 'PPT2', 'FADS2', 'PTGES', 'ACOT8', 'ACAA2', 'SLC25A17', 'SLC27A3', 'SLC27A2', 'MORC2', 'PTGR1', 'AMACR', 'HACL1', 'DECR2', 'HPGDS', 'MCAT', 'MECR', 'HAO2', 'PRKAG2', 'CROT', 'ELOVL2', 'ACOXL', 'OLAH', 'PECR', 'PCTP', 'MID1IP1', 'ALOXE3', 'DPEP2', 'DPEP3', 'SCD5', 'ELOVL7', 'ACSF2', 'ACAD10', 'ACAD11', 'ACBD6', 'MCEE', 'CBR4', 'PRXL2B', 'PTGR2', 'FAAH2', 'AWAT1', 'ACSF3', 'NUDT7', 'NUDT19', 'HTD2']",109
Arachidonic acid metabolism,"['ALOX12', 'ALOX5', 'ALOX5AP', 'ALOX12B', 'ALOX15', 'ALOX15B', 'CBR1', 'DPEP1', 'EPHX2', 'FAAH', 'GGT1', 'GGT5', 'HPGD', 'LTA4H', 'LTC4S', 'ABCC1', 'PLA2G4A', 'PON1', 'PON2', 'PON3', 'PTGDS', 'PTGS1', 'PTGS2', 'TBXAS1', 'AKR1C3', 'MAPKAPK2', 'PTGES', 'PTGR1', 'HPGDS', 'ALOXE3', 'DPEP2', 'DPEP3', 'PRXL2B', 'PTGR2', 'FAAH2', 'AWAT1']",36
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),"['CBR1', 'HPGD', 'PTGDS', 'PTGS1', 'PTGS2', 'TBXAS1', 'AKR1C3', 'PTGES', 'HPGDS', 'PRXL2B', 'PTGR2']",11
Synthesis of 15-eicosatetraenoic acid derivatives,"['ALOX15', 'ALOX15B', 'PTGS2']",3
Biosynthesis of specialized proresolving mediators (SPMs),"['ALOX12', 'ALOX5', 'ALOX5AP', 'ALOX15', 'CYP2E1', 'EPHX2', 'GSTM4', 'HPGD', 'LTA4H', 'LTC4S', 'PTGS2', 'PTGR1']",12
Biosynthesis of EPA-derived SPMs,"['ALOX5', 'ALOX15', 'HPGD', 'LTA4H', 'PTGS2']",5
Biosynthesis of DHA-derived SPMs,"['ALOX12', 'ALOX5', 'ALOX15', 'CYP2E1', 'EPHX2', 'GSTM4', 'HPGD', 'LTA4H', 'LTC4S', 'PTGS2']",10
Biosynthesis of DPA-derived SPMs,"['ALOX12', 'ALOX5', 'ALOX15', 'PTGS2']",4
Biosynthesis of DPAn-3 SPMs,"['ALOX12', 'ALOX5', 'ALOX15', 'PTGS2']",4
Biosynthesis of electrophilic -3 PUFA oxo-derivatives,"['ALOX5', 'PTGS2']",2
Metabolism of water-soluble vitamins and cofactors,"['ACACA', 'ACACB', 'ACP5', 'AOX1', 'BST1', 'BTD', 'CD38', 'CYB5A', 'CYB5R3', 'FASN', 'FOLR2', 'CBLIF', 'HLCS', 'MOCS2', 'ABCC1', 'MTHFD1', 'MTHFR', 'MTR', 'MTRR', 'MMUT', 'NNMT', 'NT5E', 'PC', 'PCCA', 'PCCB', 'ENPP1', 'ENPP2', 'ENPP3', 'PRSS1', 'PTGS2', 'ABCD4', 'SHMT1', 'SHMT2', 'SLC19A1', 'TCN1', 'TCN2', 'CUBN', 'SLC25A16', 'PDXK', 'SLC5A6', 'SLC22A13', 'GSTO1', 'NAMPT', 'GPHN', 'MTHFS', 'ALDH1L1', 'CTRC', 'NMNAT2', 'QPRT', 'MTHFD1L', 'MMACHC', 'TPK1', 'NMRK2', 'MMADHC', 'MOCS3', 'PDZD11', 'CD320', 'NMRK1', 'MOCOS', 'PNPO', 'NADSYN1', 'RFK', 'RNLS', 'NAXD', 'LMBRD1', 'MCCC1', 'SLC25A19', 'PPCDC', 'AASDHPPT', 'MCCC2', 'NMNAT1', 'NADK', 'THTPA', 'PPCS', 'PANK2', 'FLAD1', 'COASY', 'SLC25A32', 'AMN', 'NUDT12', 'NAPRT', 'SLC46A1', 'GSTO2', 'NAXE', 'NADK2', 'ALDH1L2', 'SLC5A8', 'MMAA', 'MMAB', 'NMNAT3']",90
Nicotinate metabolism,"['BST1', 'CD38', 'NNMT', 'NT5E', 'PTGS2', 'SLC22A13', 'NAMPT', 'NMNAT2', 'QPRT', 'NMRK2', 'NMRK1', 'NADSYN1', 'RNLS', 'NAXD', 'NMNAT1', 'NADK', 'NUDT12', 'NAPRT', 'NAXE', 'NADK2', 'SLC5A8', 'NMNAT3']",22
Nicotinamide salvaging,"['NNMT', 'PTGS2', 'SLC22A13', 'NAMPT', 'RNLS', 'NAXD', 'NUDT12', 'NAPRT', 'NAXE', 'SLC5A8']",10
COX reactions,['PTGS1'],1
